start,text
294.781,"Dancing, singing, script writing.., he doesn't know to do any of these."
298.878,See now.
300.476,"Okay, let's start the journey."
302.483,Welcome.
316.441,Welcome to Vj Siddhu Vlogs.
319.326,"Vj Siddhu with the cameraman from Monisha hotel,"
322.959,"Not with cameraman, cameraman is doing completely irrelevant stuff."
332.497,He is stacking up everything side.
334.745,He is even eating the dosa that fell down.
336.321,"Shall we go? The time is 2 am, dude."
338.934,I'll doze off right when we get in.
340.457,I'll sleep off I mean.
341.763,"What did you tell me before? there are 3 people to drive, here, there are two people."
345.654,"No, no, that is.., I am ready."
350.557,"What, why did you come like this?"
352.557,"If you let me, I'll drive."
353.835,"There is a cycle there, it's the owner's cycle, you can go on a round in that."
357.56,One full round without touching your feet on the ground.
359.34,"Bro, I have never driven an Innova.., that is not a valid reason to let you drive."
362.492,"I want to drive once, bro."
364.241,"Who is he, dude? You drive, bro."
366.233,The innova owner came up.
368.919,"I don't know, we have taken this car on rent."
371.798,Tomorrow you should only bow down in front of them.
373.221,"Bro, I have asked so many times.., does that mean we can't drive?"
376.741,"If you say you can't, the world will not believe you, because you can't."
380.454,So keep your mouth shut.
383.002,"The people that question will ask a 1000 questions.., just like how Thalaivar said, we must go like deaf frogs."
387.021,"Look at the frame, guys."
389.47,"Tamannah, no not that.., you will be like this."
393.536,Look at the frame guys.
398.033,"Where is the head, man?"
401.617,"I think if that vessel had a mouth, it would speak."
406.995,"When Sabari laughs, his body remains still, but his head shakes."
410.91,"He goes on mute, bro."
414.269,"When you put the sugarcane inside the sugarcane machine and take the juice out, that's how he laughs."
423.812,"Actually, if he does the SFX work all time for us, it would be nice."
426.96,"Hey, are you up for it? Now you are SFX,"
429.654,Okay? I am Sabari.
432.282,"1..2..3,"
437.879,"Bro, it's shaking."
439.879,"Bro, the food is shaking."
445.307,"Now, this."
451.844,"As usual, we ate in the Monisha Hotel."
454.249,Time now is 2:05.    
455.821,"After this, whether we are going to the marriage, or,"
458.278,"To the reception after that, we don't know."
461.588,"So, keep watching this video."
463.698,"Leave that, I have to ask an important question."
465.636,"Why is your leg like that? Style, bro."
467.598,"He has a pus here, so, to hide it, he is keeping it like that."
474.445,Big pus.
480.015,"You might judge us after seeing this,"
482.015,"Not at all, we are not doing anything extra. "
485.688,"We have a drug named Sabari, that is enough for us till morning."
496.062,How are you laughing like that? Now itself my stomach hurts.
498.818,"I got cramps, bro! Truly, it's very difficult."
502.82,"What is this modulation, man?"
505.047,Even mimicking Kamal sir and Rajini sir is easier.
509.174,This is so tough.
510.776,Shall I drive?
517.382,"See, he is doing something."
518.64,"Bro, he has been acting weird.., what, dude?"
523.92,"He is driving, bro, please?"
528.265,"He is about to puke, bro.., open the window for him dude."
531.649,Why is he covering his nose when he wants to puke?
535.119,"He is doing something, look at him."
536.531,"Stop, dude.., wait, man."
540.509,"Wait, wait, wait, dude."
543.613,"Open, open."
549.548,"I am next, go and die, go."
551.548,"If I see that, I will puke as well."
553.455,"Someone go check him out, dude."
560.497,Eww! What happened? There is everything.
562.186,"Dosa, parotta,"
563.789,"Bro he stole my dosa and ate, bro."
566.111,"It is there right now, go and eat."
568.145,"I am not sitting at the back, it makes me want to throw up."
571.386,"Bro, someone is throwing him at the back it seems."
574.388,"There is only front and back in the car, behind that where will he go and sit?"
578.924,Let's go.
580.524,"Hey, who is he?"
582.505,The time is 3:15.
584.174,"At 3:15, Sabari has conducted an amazing ceremony."
587.956,"Only from that, we all gained energy."
589.878,"When it came from down, Eww!"
597.44,"Bro keep the a/c at cool, we are not getting air."
603.338,"Hey, it's cold, dude."
605.338,"I am wearing shorts, man, it's very cold."
608.95,"They opened this, we didn't get air at all."
611.286,"Bro, ask him to reduce it."
614.928,"How can I a give an a/c for every seat, dude?"
619.064,"Keep mine, keep it in a way that the air comes from my side of the inlet."
622.187,"Is it coming, now?"
623.823,"Sheriff bro, turn the a/c at the bottom on."
626.764,"Keep your face below the seat, man."
629.791,"Give your hand, bro, look at this."
634.088,"Hey, not that, what did you ask?"
636.47,"See, it's not coming at all, bro, talk with some conscience."
640.122,"See now.., if you do this, it will reduce."
644.407,"If you press this, it will increase, adjust it accordingly."
647.967,"How many points are there in total? 4, right?"
651.016,"See here,"
653.436,"It's sweating here, bro, see.., show, not there, man."
657.701,See here.
659.401,"Hey, Sheriff!"
662.502,"Stop, dude!"
664.88,He just increased the speed from 30.
668.808,Stop it!
674.009,"So he's not gone there to puke, he has gone there to use the loo."
677.637,"If you wait for 10 minutes, we can take everything and come.., the body?"
680.592,He is taking it from the bottom.
683.545,That's what happens if you eat from others' plates.
687.028,Maybe because of the travel.
688.734,"What did we travel, dude? We haven't even reached Villupuram yet."
693.182,"I have seen many people, man."
696.4,They puke either in hill stations or in hairpin bends.
700.799,"It's legit a straight road, can't you come till Villupuram without puking?"
707.298,"He's making what went inside come out, bro."
711.188,As if he is a Triple H fan.
713.188,He will keep mouth inside his water and do stunts.
715.958,"For sometime, open the window and drive."
719.071," Okay? He will tuck his head out, bro."
721.354,"On the way, I'll drop you in Villupuram, run away from there!"
725.028,Yayy! Happy!
727.236,"No, you shouldn't get down, even if you puke, you should come with us."
729.73,"Bro he is feeling feverish, it feels that way after puking, right?"
733.487,"Keep all the windows open, dude."
735.841,"All the windows, huh? Open, dude."
738.357,"As if it's his car, he is caring about whether the dust will come in when we open the window."
743.14,"We can't go fast now if not the dust will blind our eyes.., as if you drove fast all this while."
746.53,"You have driven for three hours, we haven't even reached villupuram yet, we have just reached Melmaruvathur."
750.751,"See, how I drive now.., okay, Vin Diesel."
752.935,"Our car drives on petrol, bro."
755.998,"He is laughing, he is coming back to form."
757.769,"Dude, he pukes out every time he laughs."
767.986,Keep your tongue out for 10 minutes.
769.89,Yeah outside!
771.764,Keep it outside.
775.024,Just a little more.
775.681,"He has opened his mouth, I can smell the vomit."
779.135,"Hey, the vomit smell is coming, go man!"
780.802,"Vomit smell, huh?"
783.306,"He only gave that idea to you, right? Go near him."
788.122,"Hey, Sabari!"
790.77,"Bro, what is this? A/C."
793.422,"See where the air is going.., bro, see how you have seated yourself."
796.742,"What, now?"
797.867,"You could have kept your legs up.., it doesn't go any above than this."
800.996,You rented the car and let the a/c go in between your legs.
803.715,"This guy puked in a 17,00,000 Rupees car, that you didn't question."
807.029,"That guy farted in the same car, that you didn't question."
809.982,"Even if the air bags open, I think you won't fall."
812.308,Do you know where it will hit?
816.131,The airbag will hit another airbag.
819.215,"Dude, stop the vehicle in a corner for two minutes."
822.096,I have to pee.
823.945,"These many times we stopped,"
826.232,"Since my focus was on him back then, I couldn't focus on myself."
829.032,"We can't, control it.., bro, he is laughing."
831.625,Is there any empty bottle here?
833.183,"No, no.., I will come in two minutes."
835.132,Open the window and pee outside.
838.211,"What can I do for this, bro, you are not letting me go for it."
840.712,"One person is puking, and the other person has to pee."
844.149,"Bro I don't pee often, only once time."
846.775,"Once time, huh?"
848.517,That's why we call it No. 1.
851.751,"Bro, stop bro.., that's it."
854.753,"For another hour, the car will not stop anywhere."
858.239,"Only because you kept stopping, we are not able to go there on time."
861.552,"Bro, he is holding his pants."
864.536,That's it.
867.273,"Just release when I tell you to.., bro, I have to pee urgently, please."
875.764,"Bro, I really have to pee."
877.764,"See, I have emptied this bottle."
880.167,Use this and throw it out.
881.975,"Stop, stop, stop brother!"
886.462,"Stop, brother."
888.779,"Do one thing, show me two drops in your pant."
893.509,"If I scare you, I guess you will stop."
895.571,"No way, man."
896.62,"Stop in the toll, bro.., dude, the toll is free."
898.992,"The toll is free? Yes, get down."
901.377,"We have come, Rajini Murugan."
905.741,"Stop, bro."
907.347,"Stop somewhere, man before he pees himself."
913.415,"Enough, bro."
915.658,"We should stop carefully, right? He is driving like Dr. Driving, bro."
918.779,"Wait, bro, there is water below."
928.98,"Bro, bro!"
930.98,That's it.
931.711,"As we go in rounds, it will leak."
934.16,Everyone is looking at us weirdly.
936.626,Who are these mad people?
938.107,Get down in running.
940.688,"Lion! Jump, jump!"
950.322,"Bro, bro!"
952.322,"Bro, he is feeling dizzy."
953.938,"Wait, man, he will puke."
955.769,I am the one that's sitting between these two people.
959.768,Please stop.
964.426,"Who are you guys, man?"
968.074,"Go and puke outside, man!"
970.031,"There are only lorries here, guys!"
971.507,"Sabari, sit, man."
976.248,"If this light falls down suddenly, how will it be? It has really happened."
980.479,Where? In Argentina or somewhere.
984.589,"Let's go, bro.., shall we go?"
992.023,No bro.
1004.828,"Will I do this to you, we are already-"
1010.534,Come and take it from me.
1014.596,Bro bro you're stamping it.
1016.596,That's it.
1022.179,*Sings a song*
1027.893,"Dad pass, huh? You come and take, man."
1042.916,"Take it, quick."
1048.431,Hey Harshath!
1050.001,Your slipper...
1056.854,"Bro, the time is 4 am, bro."
1062.73,"Bro, you brought his slipper-"
1064.73,"Please, bro.., okay, okay. "
1070.888,"Dude, your slipper is here."
1073.24,"Come out! I am standing outside, bro."
1076.258,"He is standing like a goalkeeper, bro."
1077.822,"See, the goal is from here to here."
1086.111,Noo! 
1096.721,Khan! Come on!
1108.738,"Okay, come, wash your legs and get inside the car."
1113.552,Don't destroy the car guys! Wash your legs and come.
1118.006,"Now if we get inside the car, there will be urine and vomit stink as well."
1121.737,"Wait, wait, there is a dung smell here."
1124.889,Show me your slippers.
1126.823,"Not me.., not me too.., then it's me!"
Title:,என்னடா சிரிப்பு இது🙄 | Theni Series | Ep-01 | Vj Siddhu Vlogs
